Datetime,Tweet Id,Text,Username,url,User Follower Count,User Following Count,User Listed Count,User Posts Count,Tweet Likes Count,Tweet Retweet count,Tweet Reply Count,Retweeted Tweet,Reply To User,Mentioned Users,Tweet,Tweet latitude,Tweet longitude,ContentType,Text_clean
2020-07-02 20:55:19+00:00,1278794406393376768,@republic How brilliant #hul continue #rascist ads @Unilever pull wool on eyes. #GlowandLovely ??? Why not name it #whiteandpretty ?,I_am_sago,https://twitter.com/I_am_sago/status/1278794406393376768,43,89,1,13410,0,0,0,,https://twitter.com/republic,"[User(username='republic', id=811972460560019456, displayname='Republic', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Unilever', id=109224937, displayname='Unilever', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",https://twitter.com/I_am_sago/status/1278794406393376768,,,NonTweet,brilliant pull #hul ad name #whiteandpretty republic unilever continue #rascist eye wool
2020-07-02 20:48:02+00:00,1278792571620192258,#FairandLovely changed to #GlowandLovely just don't add girls with dark skin just yo turn them into a lightbulb,Cleveru07375886,https://twitter.com/Cleveru07375886/status/1278792571620192258,4,35,0,246,1,0,0,,,,https://twitter.com/Cleveru07375886/status/1278792571620192258,,,Tweet,girl skin yo turn add lightbulb dark changed
2020-07-02 20:45:12+00:00,1278791857775009800,"South Asian society is toxic. Imagine being told to lighten up or you won’t find a husband, or seeing Bollywood actresses who are already “Fair &amp; Lovely” telling you to buy this poison.  Fuck you #FairandLovely, Fuck you #GlowandLovely. This shit needs banning not rebranding https://t.co/Y8Fld73tYi",krishnah1401,https://twitter.com/krishnah1401/status/1278791857775009800,399,324,4,9999,0,0,0,,,,https://twitter.com/krishnah1401/status/1278791857775009800,,,Tweet,find asian lovely co seeing banning fuck already actress shit lighten y8fld73tyi rebranding south fair http husband told telling society buy bollywood poison toxic need imagine
2020-07-02 20:39:20+00:00,1278790381291712512,"SELLERS, Do Not Miss Out On The Summer Market 
#realestate #losangeles #economy #SummerVibes #HomeDepot #Luxury #pandemic #coronavirus #COVID19 #GlowandLovely #qoutes #thursdayvibes #california #usa #howto #kocarhomes https://t.co/7SdWcg8JSo",KocarHomes,https://twitter.com/KocarHomes/status/1278790381291712512,38,45,1,222,0,0,0,,https://twitter.com/KocarHomes,,https://twitter.com/KocarHomes/status/1278790381291712512,33.704538,-118.668404,NonTweet,#losangeles co #california summer #kocarhomes market #qoutes #thursdayvibes #pandemic seller #coronavirus #economy #luxury miss #howto #usa #covid19 http #realestate #homedepot 7sdwcg8jso #summervibes
2020-07-02 20:38:14+00:00,1278790106447568913,"HUL deciding to change the name from #FairandLovely to #GlowandLovely 
sounds like every other toxic person saying they’ve changed",philosofateem,https://twitter.com/philosofateem/status/1278790106447568913,129,327,0,2986,10,4,0,,,,https://twitter.com/philosofateem/status/1278790106447568913,,,Tweet,name deciding sound every person like change hul toxic saying changed
2020-07-02 20:37:49+00:00,1278790000750899201,"SELLERS, Do Not Miss Out On The Summer Market 
#realestate #losangeles #economy #SummerVibes #HomeDepot #Luxury #pandemic #coronavirus #COVID19 #GlowandLovely #qoutes #thursdayvibes #california #usa #howto #kocarhomes https://t.co/puRHmpZv6k",KocarHomes,https://twitter.com/KocarHomes/status/1278790000750899201,38,45,1,222,0,0,1,,https://twitter.com/KocarHomes,,https://twitter.com/KocarHomes/status/1278790000750899201,33.704538,-118.668404,NonTweet,#losangeles co #california summer #kocarhomes market #qoutes #thursdayvibes #pandemic seller #coronavirus #economy #luxury miss #howto #usa #covid19 http #realestate #homedepot purhmpzv6k #summervibes
2020-07-02 20:36:00+00:00,1278789544259620864,"SELLERS, Do Not Miss Out On The Summer Market 
#realestate #losangeles #economy #SummerVibes #HomeDepot #Luxury #pandemic #coronavirus #COVID19 #GlowandLovely #qoutes #thursdayvibes #california #usa #howto #kocarhomes https://t.co/qu9IOlJsiS",KocarHomes,https://twitter.com/KocarHomes/status/1278789544259620864,38,45,1,222,0,0,1,,https://twitter.com/KocarHomes,,https://twitter.com/KocarHomes/status/1278789544259620864,33.704538,-118.668404,NonTweet,#losangeles co #california summer #kocarhomes market #qoutes #thursdayvibes #pandemic seller #coronavirus #economy #luxury miss #howto #usa qu9ioljsis #covid19 http #realestate #homedepot #summervibes
2020-07-02 20:35:37+00:00,1278789445202792448,"Glow Life 

noun
People or activities characterised by act of masking racism with hypocrisy
“Such a glow life to project as if CAA-NRC have humanitarian objectives”

Verb
refusing to acknowledge the harm being caused
“He will just glow life migrant workers crisis”

#GlowandLovely",anvitanath,https://twitter.com/anvitanath/status/1278789445202792448,2924,1802,43,27388,2,0,0,,,,https://twitter.com/anvitanath/status/1278789445202792448,,,Tweet,act migrant refusing hypocrisy harm objective racism humanitarian characterised verb caa nrc noun people caused glow life project worker crisis masking activity acknowledge
2020-07-02 20:33:39+00:00,1278788952913326080,‘Big first step’ you say? Rather a misstep! Replacing #FairandLovely with #GlowandLovely does nothing. To think not too many days ago we were applauding @HUL_News but I’ll hold off with my praise until they completely discontinue this product! https://t.co/t8nn7fySfL,HanishaLalwani,https://twitter.com/HanishaLalwani/status/1278788952913326080,988,851,64,10826,0,0,0,,,"[User(username='HUL_News', id=1703704490, displayname='Hindustan Unilever', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",https://twitter.com/HanishaLalwani/status/1278788952913326080,,,NonTweet,say completely t8nn7fysfl nothing rather co day discontinue big hul ago hold misstep many step http think praise applauding news replacing first product
2020-07-02 20:30:28+00:00,1278788148714024960,‘Fair &amp; Lovely’ rebranded as ‘Glow &amp; Lovely’. Lo glow baat. #FairandLovely #GlowandLovely #HUL,pushkal16,https://twitter.com/pushkal16/status/1278788148714024960,162,508,0,4144,0,0,0,,,,https://twitter.com/pushkal16/status/1278788148714024960,,,Tweet,#hul lovely baat rebranded fair glow lo
