Datetime,Tweet Id,Text,Username,url,User Location,User Follower Count,User Following Count,User Listed Count,User Posts Count,Tweet Likes Count,Tweet Retweet count,Tweet Reply Count,Retweeted Tweet,Reply To User,Mentioned Users,Tweet,Tweet latitude,Tweet longitude,ContentType,Text_clean
2020-07-02 12:27:31+00:00,1278666611143000064,"HUL's 'Fair and Lovely' will now be renamed as 'Glow and Lovely' after the anti racism movement gained attention worldwide. 
#jimskalkaji #FairandLovely #GlowandLovely #HUL #BlakeLivesMatter #saynotoracism https://t.co/OpOu7CoOgg",jimskalkaji,https://twitter.com/jimskalkaji/status/1278666611143000064,New Delhi,662,59,1,2146,20,13,2,,,,https://twitter.com/jimskalkaji/status/1278666611143000064,,,Tweet,renamed fair glow #hul http attention #blakelivesmatter co opou7coogg #saynotoracism worldwide racism anti #jimskalkaji movement lovely hul gained
2020-07-02 12:25:46+00:00,1278666171852533760,#FairandLovely to now be repackaged with a new name – #GlowandLovely,themukulagrawal,https://twitter.com/themukulagrawal/status/1278666171852533760,Lucknow,173148,164,283,32839,43,14,2,,,,https://twitter.com/themukulagrawal/status/1278666171852533760,,,Tweet,name repackaged new
2020-07-02 12:23:36+00:00,1278665626425241600,"Fair &amp; Lovely

is now

Glow &amp; Lovely 
#FairandLovely",NewsInbox2,https://twitter.com/NewsInbox2/status/1278665626425241600,India,8,472,0,275,0,0,0,,,,https://twitter.com/NewsInbox2/status/1278665626425241600,,,Tweet,fair lovely glow
2020-07-02 12:20:28+00:00,1278664837564903424,HUL names men's range of #FairandLovely as 'Glow &amp; Lovely'. @HUL_News https://t.co/HysCb3pzUY,ETNOWlive,https://twitter.com/ETNOWlive/status/1278664837564903424,India,749177,101,2239,533528,6,2,2,,,"[User(username='HUL_News', id=1703704490, displayname='Hindustan Unilever', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",https://twitter.com/ETNOWlive/status/1278664837564903424,,,NonTweet,name men news glow http range co lovely hul hyscb3pzuy
2020-07-02 12:12:47+00:00,1278662902879105025,Fair and lovely to be known as glow and lovely. #FairandLovely,digital__hitesh,https://twitter.com/digital__hitesh/status/1278662902879105025,,68782,70319,42,454,0,0,0,,,,https://twitter.com/digital__hitesh/status/1278662902879105025,,,Tweet,fair lovely glow known
2020-07-02 12:12:21+00:00,1278662794930348032,"As #FairandLovely gets rebranded to #GlowandLovely, I think it's only fair that Hindustan Unilever put a disclaimer that the cream will NOT make you glow in the dark",a_flyguy,https://twitter.com/a_flyguy/status/1278662794930348032,,1178,226,10,4562,6,2,1,,,,https://twitter.com/a_flyguy/status/1278662794930348032,,,Tweet,rebranded hindustan fair dark glow get disclaimer cream think put unilever make
2020-07-02 12:11:10+00:00,1278662498623688705,"#FairandLovely to now be repackaged with a new name – #GlowandLovely 

https://t.co/1bfYzcoM5t

@HUL_News 

By @SanchDash https://t.co/XiDfcK8NLM",BiIndia,https://twitter.com/BiIndia/status/1278662498623688705,"New Delhi, India",124348,225,626,83441,19,5,34,,,"[User(username='HUL_News', id=1703704490, displayname='Hindustan Unilever', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SanchDash', id=95024162, displayname='sanchita dash', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",https://twitter.com/BiIndia/status/1278662498623688705,,,NonTweet,name news sanchdash http repackaged new co 1bfyzcom5t hul xidfck8nlm
2020-07-02 12:10:47+00:00,1278662399864844290,"HUL renamed it's skin care product brand Fair &amp; lovely as Glow &amp; lovely___
#HUL #hindustanunilever #skincare #whiteningproducts #FairandLovely #GlowandLovely #johnsonandjohnson #namechange #Businesses #DailyUpdate #Digtym https://t.co/79N6vuIH6r",thevickyshaurya,https://twitter.com/thevickyshaurya/status/1278662399864844290,,26,25,1,719,1,0,1,,https://twitter.com/thevickyshaurya,,https://twitter.com/thevickyshaurya/status/1278662399864844290,,,NonTweet,skin fair #hul co #businesses renamed #johnsonandjohnson product #skincare #hindustanunilever #whiteningproducts #namechange brand #dailyupdate #digtym 79n6vuih6r care glow http lovely hul
2020-07-02 12:08:44+00:00,1278661885911601153,"@Unilever to rebrand #FairAndLovely as #GlowAndLovely. 
Must have been a tough call for team to chose between 
replacing adjective-and-adjective with verb (or weiredly placed noun)-and-adjective, 
and
the product identity!.",VeryHighsenberg,https://twitter.com/VeryHighsenberg/status/1278661885911601153,,268,1110,10,9475,2,1,0,,,"[User(username='Unilever', id=109224937, displayname='Unilever', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",https://twitter.com/VeryHighsenberg/status/1278661885911601153,,,NonTweet,tough verb adjective team weiredly product rebrand placed chose identity noun replacing unilever must call
2020-07-02 12:01:49+00:00,1278660145157795840,"But will 'Glow &amp; Lovely' get women jobs the way 'Fair &amp; Lovely' did?
#FairandLovely https://t.co/FsOo6BRuwL",LunchtimeBanker,https://twitter.com/LunchtimeBanker/status/1278660145157795840,"New Delhi, India",117,593,0,3192,0,0,0,,,,https://twitter.com/LunchtimeBanker/status/1278660145157795840,,,Tweet,way fsoo6bruwl fair glow job http co woman get lovely
